Titulo;Año;Director;Vista
Gertrud;1964;Carl Theodor Dreyer;0
¡Qué noche la de aquel día!;1964;The Beatles;0
Soy Cuba;1964;Mikhail Kalatozov;0
El muelle;1962;Chris Marker;0
La mujer casada;1964;Jean-Luc Godard;0
Noviciat;1965;Noël Burch;0
La piel suave;1964;François Truffaut;0
Point of Order!;1964;Emile de Antonio;0
El desierto rojo;1964;Michelangelo Antonioni;0
Los corceles de fuego;1965;Sergei Parajanov;1
Zulú;1964;Cy Endfield;0
Lemmy contra Alphaville;1965;Jean-Luc Godard;1
Khesht va Ayeneh;1965;Ebrahim Golestan;0
Zacharovannaya Desna;1964;Yuliya Solntseva;0
Masculino, femenino;1966;Jean-Luc Godard;0
Nicht versöhnt oder Es hilft nur Gewalt, wo Gewalt herrscht;1965;Jean-Marie Straub;0
¡Peligro... línea 7000!;1965;Howard Hawks;0
Report;1967;Bruce Conner;0
Vinyl;1965;Andy Warhol;0
Andrei Rublev;1966;Andrei Tarkovsky;0
Al azar de Baltasar;1966;Robert Bresson;0
La noire de...;1966;Ousmane Sembene;0
Las margaritas;1966;Vera Chytilová;0
Pajaritos y pajarracos;1966;Pier Paolo Pasolini;0
Inauguration of the Pleasure Dome;1954;Kenneth Anger;0
Todo por amor;1966;George Axelrod;0
Made in U.S.A;1966;Jean-Luc Godard;0
Edipo Re;1967;Pier Paolo Pasolini;0
Persona;1966;Ingmar Bergman;1
El ángel rojo;1966;Yasuzô Masumura;0
2 ou 3 choses que je sais d'elle;1967;Jean-Luc Godard;1
El juego de la guerra;1967;Peter Watkins;0
What's Up, Tiger Lily?;1966;Woody Allen;0
El oficio más viejo del mundo;1967;Claude Autant-Lara;0
Belle de jour (Bella de día);1967;Luis Buñuel;1
Bonnie y Clyde;1967;Bonnie Parker;0
China está cerca;1967;Marco Bellocchio;0
La chinoise;1967;Jean-Luc Godard;0
David Holzman's Diary;1967;Jim McBride;0
Le Horla;1966;Jean-Daniel Pollet;0
Jeongsa;1965;Il-Ho Jang;0
Mouchette;1967;Robert Bresson;0
Playtime;1967;Jacques Tati;1
A quemarropa;1967;John Boorman;0
La prise de pouvoir par Louis XIV;1967;Roberto Rossellini;0
Privilegio;1967;Peter Watkins;0
Csillagosok, katonák;1967;Miklós Jancsó;0
El tiroteo;1966;Monte Hellman;0
Wavelength;1967;Michael Snow;0
Week End;1967;Jean-Luc Godard;0
Las señoritas de Rochefort;1967;Jacques Demy;0
Der Bräutigam, die Komödiantin und der Zuhälter;1968;Jean-Marie Straub;0
Dead by Hanging;1968;Nagisa Ôshima;0
Faces;1968;John Cassavetes;0
Te amo, te amo;1968;Alain Resnais;0
El guateque;1968;Blake Edwards;1
Petulia;1968;Richard Lester;0
The Plot Against Harry;1989;Michael Roemer;0
La semilla del diablo;1968;Roman Polanski;0
Sayat nova. El color de la granada;1969;Sergei Parajanov;1
Le 17e parallèle: La guerre du peuple;1968;Joris Ivens;0
Besos robados;1968;François Truffaut;0
El héroe anda suelto;1968;Peter Bogdanovich;0
Teorema;1968;Pier Paolo Pasolini;0
2001: Una odisea del espacio;1968;Stanley Kubrick;1
Amor loco;1969;Jacques Rivette;0
<--->;1969;Michael Snow;0
La sala de estar con cama;1969;Richard Lester;0
La mujer infiel;1969;Claude Chabrol;0
Blue Movie;1969;Andy Warhol;0
The Grandmother;1970;David Lynch;0
Ice;1970;Robert Kramer;0
Katzelmacher;1969;Rainer Werner Fassbinder;0
Mi noche con Maud;1969;Éric Rohmer;0
Mr. Freedom;1968;William Klein;0
Un tiempo para morir;1969;Budd Boetticher;0
Tom, Tom, the Piper's Son;1969;Ken Jacobs;0
Grupo salvaje;1969;Sam Peckinpah;0
Le cochon;1970;Jean-Michel Barjol;0
Aranyer Din Ratri;1970;Satyajit Ray;0
El pequeño salvaje;1970;François Truffaut;0
Fata Morgana;1971;Werner Herzog;0
Los asesinos de la luna de miel;1970;Leonard Kastle;0
Performance;1970;Donald Cammell;0
Le petit théâtre de Jean Renoir;1970;Jean Renoir;0
La vida privada de Sherlock Holmes;1970;Billy Wilder;0
Scenes from Under Childhood Section #4;1970;Stan Brakhage;0
La estrategia de la araña;1970;Bernardo Bertolucci;0
Tristana;1970;Luis Buñuel;0
Vampir Cuadecuc;1971;Pere Portabella;0
Woodstock;1970;Michael Wadleigh;0
Zabriskie Point;1970;Michelangelo Antonioni;0
The Act of Seeing with One's Own Eyes;1971;Stan Brakhage;0
Der Tod der Maria Malibran;1972;Werner Schroeter;0
Deux fois;1968;Jackie Raynal;0
Cuatro noches de un soñador;1971;Robert Bresson;0
Como Era Gostoso o Meu Francês;1971;Nelson Pereira dos Santos;0
Los vividores;1971;Robert Altman;0
Corazón verde;1971;Elaine May;0
Hapax Legomena I: Nostalgia;1971;Hollis Frampton;0
Out 1, noli me tangere;1971;Jacques Rivette;0
Petit à petit;1970;Jean Rouch;0
Még kér a nép;1972;Miklós Jancsó;0
La région centrale;1971;Michael Snow;0
Reminiscences of a Journey to Lithuania;1972;Jonas Mekas;0
Tráfico;1971;Jacques Tati;1
Carretera asfaltada en dos direcciones;1971;Monte Hellman;0
Walkabout;1971;Nicolas Roeg;0
Wanda;1970;Barbara Loden;0
Los misterios del organismo;1971;Dusan Makavejev;0
Aguirre, la cólera de Dios;1972;Werner Herzog;0
¿Qué ocurrió entre mi padre y tu madre?;1972;Billy Wilder;0
El discreto encanto de la burguesía;1972;Luis Buñuel;1
Fat City, ciudad dorada;1972;John Huston;0
Roma;1972;Federico Fellini;0
El rompecorazones;1972;Elaine May;0
El último tango en París;1972;Bernardo Bertolucci;0
Out 1: Spectre;1972;Jacques Rivette;0
Solaris;1972;Andrei Tarkovsky;1
Malas tierras;1973;Terrence Malick;0
Fraude;1973;Orson Welles;0
Un largo adiós;1973;Robert Altman;0
Martha;1973;Rainer Werner Fassbinder;0
Mogholha;1973;Parviz Kimiavi;0
La maman et la putain;1973;Jean Eustache;0
Sanrizuka: Heta buraku;1973;Shinsuke Ogawa;0
Nathalie Granger;1972;Marguerite Duras;0
Zafarrancho en el circo;1972;Jacques Tati;0
Salomé;1973;Clive Barker;0
La bella durmiente;1973;James B. Harris;0
Touki-Bouki;1973;Djibril Diop Mambéty;0
¿Qué?;1972;Roman Polanski;0
Alicia en las ciudades;1974;Wim Wenders;0
Benilde ou a Virgem Mãe;1975;Manoel de Oliveira;0
Quiero la cabeza de Alfredo García;1974;Sam Peckinpah;0
Celine y Julie van en barco;1974;Jacques Rivette;0
Gallos de pelea;1974;Monte Hellman;0
La conversación;1974;Francis Ford Coppola;1
Eadweard Muybridge, Zoopraxographer;1975;Thom Andersen;0
La boca abierta;1974;Maurice Pialat;0
Lancelot du Lac;1974;Robert Bresson;0
Gelegenheitsarbeit einer Sklavin;1973;Alexander Kluge;0
El fantasma de la libertad;1974;Luis Buñuel;0
Jukti, Takko Aar Gappo;1974;Ritwik Ghatak;0
Stavisky...;1974;Alain Resnais;0
Mossafer;1974;Abbas Kiarostami;0
Una mujer bajo la influencia;1974;John Cassavetes;0
Anatomie d'un rapport;1976;Luc Moullet;0
Barry Lyndon;1975;Stanley Kubrick;0
India Song;1975;Marguerite Duras;0
Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles;1975;Chantal Akerman;0
El asesinato de un corredor de apuestas chino;1976;John Cassavetes;0
Mandingo;1975;Richard Fleischer;0
La traición de Mikey;1976;Elaine May;0
La noche se mueve;1975;Arthur Penn;0
Número dos;1975;Jean-Luc Godard;0
El reportero;1975;Michelangelo Antonioni;0
Dow Rahehal Baraye yek Massaleh;1975;Abbas Kiarostami;0
Welfare;1975;Frederick Wiseman;0
Breakfast (Table Top Dolly);1976;Michael Snow;0
Edvard Munch;1976;Peter Watkins;0
11 x 14;1977;James Benning;0
La trama;1976;Alfred Hitchcock;0
Ici et ailleurs;1976;Jean-Luc Godard;0
El inocente;1976;Luchino Visconti;0
El imperio de los sentidos;1976;Nagisa Ôshima;0
Fascinación;1976;Brian De Palma;0
Wide Angle Saxon;1975;Owen Land;0
Annie Hall;1977;Woody Allen;1
Le camion;1977;Marguerite Duras;0
Tratar con cuidado;1977;See full summary;0
Colloque de chiens;1977;Raoul Ruiz;0
El diablo, probablemente;1977;Robert Bresson;0
Cabeza borradora;1977;David Lynch;1
Hitler, ein Film aus Deutschland;1977;Hans-Jürgen Syberberg;0
Last Chants for a Slow Dance;1977;Jon Jost;0
One Way Boogie Woogie;1977;James Benning;0
Passing Through;1977;Larry Clark;0
Providence;1977;Alain Resnais;0
Ese oscuro objeto del deseo;1977;Luis Buñuel;0
Valse Triste;1977;Bruce Conner;0
La habitación verde;1978;François Truffaut;0
The Discipline of D.E.;1982;Gus Van Sant;0
Amor de Perdição: Memórias de uma Família;1982;António Sequeira Lopes;0
Filming 'Othello';1978;Orson Welles;0
France/tour/detour/deux/enfants;1978;Camille Virolleaud;0
Dalla nube alla resistenza;1979;Danièle Huillet;0
Genèse d'un repas;1979;Luc Moullet;0
Incontinence: A Diarrhetic Flow of Mismatches;1978;Manuel De Landa;0
Killer of Sheep;1978;Charles Burnett;0
Lmno;1978;Robert Breer;0
Martin;1977;George A. Romero;0
Devo: Mongoloid;1977;Bruce Conner;0
Los encuentros de Ana;1978;Chantal Akerman;0
The Scenic Route;1978;Mark Rappaport;0
Empieza el espectáculo;1979;Bob Fosse;0
Apocalypse Now;1979;Francis Ford Coppola;1
Más allá del valle de las ultravixens;1979;Russ Meyer;0
1941;1979;Steven Spielberg;0
Perceval le Gallois;1978;Éric Rohmer;0
Real Life;1979;Albert Brooks;0
Richard Pryor: Live in Concert;1979;Jeff Margolis;1
Stalker;1979;Andrei Tarkovsky;1
Bildnis einer Trinkerin;1979;Ulrike Ottinger;0
Sangre sabia;1979;John Huston;0
Atlantic City;1980;Louis Malle;0
Uno Rojo: División de choque;1980;Samuel Fuller;0
Gloria;1980;John Cassavetes;0
 BBC2 Playhouse;1980;Mike Leigh;0
The Little Richard Story;1980;William Klein;0
Melvin y Howard;1980;Jonathan Demme;0
La mémoire courte;1979;Eduardo de Gregorio;0
The Metaphor;1980;King Vidor;0
Mi tío de América;1980;Alain Resnais;0
Caído del cielo;1980;Dennis Hopper;0
El resplandor;1980;Stanley Kubrick;1
Charmed Particles;1979;Andrew Noren;0
El camino de Cutter;1981;Ivan Passer;0
¡Dale fuerte! Jerry;1980;Jerry Lewis;0
La loca historia del mundo;1981;Mel Brooks;0
Un romance de hoy;1981;Albert Brooks;0
Be Tartib ya Bedoun-e Tartib;1995;Abbas Kiarostami;0
Dinero caído del cielo;1981;Herbert Ross;0
Het dak van de Walvis;1982;Raoul Ruiz;0
Trop tôt/Trop tard;1981;Danièle Huillet;0
Two Portraits;1982;Peter Thompson;0
Ha-Ayit;1981;Yaky Yosha;0
Perro blanco;1982;Samuel Fuller;0
Blade Runner;1982;Ridley Scott;1
Una habitación en la ciudad;1982;Jacques Demy;0
En rachâchant;1982;Danièle Huillet;0
Yoman Sadeh;1982;Amos Gitai;0
La guerre d'un seul homme;1982;Edgardo Cozarinsky;0
 Visions;1982;Jean-Luc Godard;0
You Are Not I;1981;Sara Driver;0
Adynata;1983;Leslie Thornton;0
Ananas;1984;Amos Gitai;0
Les années 80;1983;Chantal Akerman;0
El dinero;1983;Robert Bresson;0
El loco mundo de Jerry;1983;Jerry Lewis;0
Hamshahri;1995;Abbas Kiarostami;0
Buscadores de oro;1983;Sally Potter;0
El hombre de Chinatown;1982;Wim Wenders;0
En los límites de la realidad;1983;Rod Serling;0
El rey de la comedia;1982;Martin Scorsese;1
My Brother's Wedding;1983;Charles Burnett;0
Sans soleil;1983;Chris Marker;0
Selva. Un portrait de Parvaneh Navaï;1983;Maria Klonaris;0
Er zi de da wan ou;1983;Hsiao-Hsien Hou;0
El estado de las cosas;1982;Wim Wenders;0
Unknown Chaplin;1982;James Mason;0
Videodrome;1983;David Cronenberg;0
Öszi almanach;1984;Béla Tarr;0
Barres;1984;Luc Moullet;0
Broadway Danny Rose;1984;Woody Allen;0
Elígeme;1984;Alan Rudolph;0
Tian guo ni zi;1994;Ho Yim;0
Osôshiki;1984;Jûzô Itami;0
Corrientes de amor;1984;John Cassavetes;0
Mutable Fire;1984;Bradley Eros;0
1984;1984;Michael Radford;1
Extraños en el paraíso;1984;Jim Jarmusch;0
Chicas en pie de guerra;1984;Jonathan Demme;0
El día de los muertos;1985;George A. Romero;0
Dao ma zei;1986;Zhuangzhuang Tian;0
Manoel na Isla Das Maravilhas;1986;Ruben de Freitas;0
The Man Who Envied Women;1985;Yvonne Rainer;0
Mix-Up ou Meli-melo;1986;Françoise Romand;0
Next of Kin;1984;Atom Egoyan;0
Passionless Moments;1983;Jane Campion;0
Shoah;1985;Claude Lanzmann;0
Una historia de Taipei;1985;Edward Yang;0
Tóngnián wangshì;1985;Hsiao-Hsien Hou;0
Sin techo ni ley;1985;Agnès Varda;0
Mala sangre;1986;Leos Carax;0
Bajo el peso de la ley;1986;Jim Jarmusch;0
Joan Does Dynasty;1986;Joan Braderman;0
Mélo;1986;Alain Resnais;0
Mémoire des apparences;1986;Raoul Ruiz;0
The Mexican Tapes: A Chronicle of Life Outside the Law;1986;Louis Hock;0
Dastforoush;1987;Mohsen Makhmalbaf;0
Routine Pleasures;1986;Jean-Pierre Gorin;0
Sherman's March;1985;Ross McElwee;0
Sleepwalk;1986;Sara Driver;0
Tampopo;1985;Jûzô Itami;0
Candy Mountain;1987;Robert Frank;0
La chouette aveugle;1987;Raoul Ruiz;0
La condena;1988;Béla Tarr;0
Dal Polo all'Equatore;1987;Yervant Gianikian;0
La chaqueta metálica;1987;Stanley Kubrick;1
El arca de Silvia;1987;Bill Forsyth;0
Casa de juegos;1987;David Mamet;0
Ishtar;1987;Elaine May;0
Landscape Suicide;1987;James Benning;0
El último emperador;1987;Bernardo Bertolucci;0
Mammame;1986;Raoul Ruiz;0
The Silent Majority;1987;Mehrnaz Saeed-Vafa;0
Los hombres duros no bailan;1987;Norman Mailer;0
Universal Hotel;1986;Peter Thompson;0
Walker (Una historia verdadera);1987;Alex Cox;0
A Western;1987;Laurie Dunphy;0
¿Dónde está la casa de mi amigo?;1987;Abbas Kiarostami;0
La luz;1987;Souleymane Cissé;0
Bird;1988;Clint Eastwood;0
Schwarze Sünde;1990;Danièle Huillet;0
Camp de Thiaroye;1988;Ousmane Sembene;0
El decálogo;1988;Artur Barcis;0
Voces distantes;1988;Terence Davies;0
Essai d'ouverture;1988;Luc Moullet;0
Golub;1988;Jerry Blumenthal;0
Hairspray, fiebre de los 60;1988;John Waters;0
Grandes ambiciones;1988;Mike Leigh;0
King Lear;1987;Jean-Luc Godard;0
Puissance de la parole;1988;Jean-Luc Godard;0
Une histoire de vent;1988;Joris Ivens;0
Talking to Strangers;1988;Rob Tregenza;0
Trois places pour le 26;1988;Jacques Demy;0
¿Quién engañó a Roger Rabbit?;1988;Robert Zemeckis;1
Las aventuras del barón Munchausen;1988;Terry Gilliam;0
El síndrome asténico;1989;Kira Muratova;0
Cézanne - Dialogue avec Joachim Gasquet (Les éditions Bernheim-Jeune);1990;Danièle Huillet;0
Chameleon Street;1989;Wendell B. Harris Jr.;0
Ciudad doliente;1989;Hsiao-Hsien Hou;0
The Deadman;1987;Peggy Ahwesh;0
Haz lo que debas;1989;Spike Lee;1
Enemigos, a love story;1989;Paul Mazursky;0
Forevermore: Biography of a Leach Lord;1989;Eric Saks;0
The Iceman Cometh;1989;Clarence Yiu-leung Fok;0
Bilder der Welt und Inschrift des Krieges;1989;Harun Farocki;0
Arousi-ye Khouban;1989;Mohsen Makhmalbaf;0
Mr. Hoover and I;1989;Emile de Antonio;0
Rembrandt Laughing;1989;Jon Jost;0
A Spy in the House that Ruth Built;1990;Vanalyne Green;0
Sweetie;1989;Jane Campion;0
Archangel;1990;Guy Maddin;0
Primer plano;1990;Abbas Kiarostami;0
Khostovanank;1990;Sergei Parajanov;0
Días salvajes;1990;Kar-Wai Wong;0
Mashgh-e Shab;1989;Abbas Kiarostami;0
Leben - BRD;1990;Harun Farocki;0
The Machine That Killed Bad People;1990;Steve Fagin;0
Esperando a Mr. Bridge;1990;James Ivory;0
No, o la vana gloria de mandar;1990;Manoel de Oliveira;0
Nueva ola;1990;Jean-Luc Godard;0
C'est vrai;1990;Robert Frank;0
Texasville;1990;Peter Bogdanovich;0
Nunca te acuestes enfadado;1990;Charles Burnett;0
Cazador blanco, corazón negro;1990;Clint Eastwood;0
Ruan Ling Yu;1991;Stanley Kwan;0
Los amantes del Pont-Neuf;1991;Leos Carax;0
La bella mentirosa;1991;Jacques Rivette;0
Un día de verano;1991;Edward Yang;0
La cabale des oursins;1992;Luc Moullet;0
El cielo... próximamente;1991;Albert Brooks;0
Colegas;1991;Joseph B. Vasquez;0
Mi Idaho privado;1991;Gus Van Sant;0
Noche y día;1991;Chantal Akerman;0
Rapsodia en agosto;1991;Akira Kurosawa;0
Instinto básico;1992;Paul Verhoeven;0
Drácula de Bram Stoker;1992;Francis Ford Coppola;0
Careful;1992;See full summary;0
Con mis ojos cerrados;1991;Stephen Poliakoff;0
La cara sucia de la ley;1992;Bill Duke;0
The Famine Within;1990;Katherine Gilday;0
Guelwaar;1992;Ousmane Sembene;0
Las horas y los tiempos;1991;Christopher Munch;0
Y la vida continúa;1992;Abbas Kiarostami;0
El largo día acaba;1992;Terence Davies;0
El almuerzo desnudo;1991;David Cronenberg;0
Lunas de hiel;1992;Roman Polanski;0
La cometa azul;1993;Zhuangzhuang Tian;0
Calendar;1993;Atom Egoyan;0
D'Est;1993;Chantal Akerman;0
Atrapado en el tiempo;1993;Harold Ramis;1
El patrullero;1991;Alex Cox;0
Hyènes;1992;Djibril Diop Mambéty;0
Aprendiendo a vivir;1994;James L. Brooks;0
Latcho Drom;1993;Tony Gatlif;0
Matinee;1993;Joe Dante;0
Mi estación preferida;1993;André Téchiné;0
El nacimiento del amor;1993;Philippe Garrel;0
El maestro de marionetas;1993;Hsiao-Hsien Hou;0
Ruby en el paraíso;1993;Victor Nunez;0
El olor de la papaya verde;1993;Anh Hung Tran;0
Este contraveneno del Oeste;1994;Kar-Wai Wong;0
The Chartres Series;1994;Stan Brakhage;0
Crumb;1994;Terry Zwigoff;0
Dieu sait quoi;1994;Jean-Daniel Pollet;0
Exótica;1994;Atom Egoyan;0
Exterior Night;1993;Mark Rappaport;0
Le tombeau d'Alexandre;1993;Chris Marker;0
Tres colores: Rojo;1994;Krzysztof Kieslowski;0
Sátántangó;1994;Béla Tarr;0
Heimat - Eine Chronik in elf Teilen;1984;Marita Breuer;0
That's Entertainment! III;1994;Bud Friedgen;0
Antes de amanecer;1995;Richard Linklater;0
Hong fen;1995;Shaohong Li;0
Dead Man;1995;Jim Jarmusch;0
From the Journals of Jean Seberg;1995;Mark Rappaport;0
Hao nan hao nu;1995;Hsiao-Hsien Hou;0
A Great Day in Harlem;1994;Jean Bach;0
Alto bajo frágil;1995;Jacques Rivette;0
Safe;1995;Todd Haynes;0
Salam Cinema;1995;Mohsen Makhmalbaf;0
Le fils de Gascogne;1995;Pascal Aubier;0
Underground;1995;Emir Kusturica;0
When It Rains;1995;Charles Burnett;0
La ceremonia;1995;Claude Chabrol;0
Nan guo zai jian, nan guo;1996;Hsiao-Hsien Hou;0
Improvisation;1950;Gjon Mili;0
Irma Vep;1996;Olivier Assayas;0
Ma jiang;1996;Edward Yang;0
Vostochnaya elegiya;1996;Aleksandr Sokurov;0
The Suicide;1996;Gregg Bordowitz;0
Los ladrones;1996;André Téchiné;0
Tikhie stranitsy;1994;Aleksandr Sokurov;0
Camino al cielo;1997;Robert Duvall;0
Lan yue;1997;I-Chen Ko;0
Tian mi mi;1996;Peter Ho-Sun Chan;0
El destino;1997;Youssef Chahine;0
Fast, Cheap & Out of Control;1997;Errol Morris;0
Happy Together;1997;Kar-Wai Wong;0
 Great Performances;1997;Robert Altman;0
Amor y muerte en Long Island;1997;See full summary;0
He liu;1997;Ming-liang Tsai;0
En directo para Newsnet;1997;Joe Dante;0
El sabor de las cerezas;1997;Abbas Kiarostami;0
Yours;1998;Jeffrey Noyes Scher;0
Alone. Life Wastes Andy Hardy;1998;Martin Arnold;0
Bulworth;1998;Warren Beatty;0
Circle's Short Circuit;1998;Caspar Stracke;0
Divorce Iranian Style;1998;Kim Longinotto;0
 Histoire(s) du cinéma;1998;Jean-Luc Godard;0
Inquietud;1998;Manoel de Oliveira;0
Khrustalyov, mashinu!;1998;Aleksey German;0
New Rose Hotel;1998;Abel Ferrara;0
Los Newton Boys;1998;Richard Linklater;0
La delgada línea roja;1998;James Jones;0
West Beirut;1998;Ziad Doueiri;0
Sib;1998;Samira Makhmalbaf;0
Buen trabajo;1999;Claire Denis;0
Asediada;1998;Bernardo Bertolucci;0
Eyes Wide Shut;1999;Stanley Kubrick;1
Ghost Dog, el camino del samurái;1999;Jim Jarmusch;0
Seul contre tous;1998;Gaspar Noé;0
El verano de Kikujiro;1999;Takeshi Kitano;0
Los amantes del círculo polar;1998;Julio Medem;1
Zhao xiansheng;1998;Yue Lü;0
Public Housing;1997;Frederick Wiseman;0
Rosetta;1999;Jean-Pierre Dardenne;0
Academia Rushmore;1998;Wes Anderson;1
Seis nueve;1999;See full summary;0
El viento nos llevará;1999;Abbas Kiarostami;0
Koudak va sarbaz;2000;Reza Mirkarimi;0
Chunhyangdyun;2000;See full summary;0
Roozi ke zan shodam;2000;See full summary;0
George Washington;2000;David Gordon Green;0
Los espigadores y la espigadora;2000;Agnès Varda;0
Hamlet - Una historia eterna;2000;Michael Almereyda;0
The Heart of the World;2000;Guy Maddin;0
The hole;1998;Ming-liang Tsai;0
Deseando amar;2000;Kar-Wai Wong;0
Mysterious Object at Noon;2000;Apichatpong Weerasethakul;0
Zhantai;2000;Zhangke Jia;0
Yi yi;2000;Edward Yang;0
A.I. Inteligencia Artificial;2001;Steven Spielberg;1
El círculo;2000;Jafar Panahi;0
Vuelvo a casa;2001;Manoel de Oliveira;0
The Mad Songs of Fernanda Hussein;2001;John Gianvito;0
Mulholland Drive;2001;David Lynch;1
Mi viaje a Italia;1999;Martin Scorsese;0
Operai, contadini;2001;Danièle Huillet;0
Où gît votre sourire enfoui?;2001;Pedro Costa;0
El baile de los sicarios;2001;Seijun Suzuki;0
Despertando a la vida;2001;Richard Linklater;0
Ni na bian ji dian;2001;Ming-liang Tsai;0
El maullido del gato;2001;William Randolph Hearst;0
*Corpus Callosum;2002;Michael Snow;0
Femme Fatale;2002;Brian De Palma;0
El arca rusa;2002;Aleksandr Sokurov;0
Spider;2002;David Cronenberg;0
Primavera en Smalltown;2002;Zhuangzhuang Tian;0
Felices dieciséis;2002;Ken Loach;0
Tangos robados;2001;Eduardo de Gregorio;0
The Tracker;2002;See full summary;0
La última noche;2002;Spike Lee;0
Y tu mamá también;2001;Alfonso Cuarón;0
Talaye sorkh;2003;Jafar Panahi;0
Abajo el amor;2003;Peyton Reed;0
Elephant;2003;Gus Van Sant;0
Go Further;2003;Ron Mann;0
Bu san;2003;Ming-liang Tsai;0
Los Angeles Plays Itself;2003;Thom Andersen;0
The Same River Twice;2003;Robb Moss;0
